"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es","var","variable","mpa_area","mpa_year_founded","mpa_isolation","mpa_compliance","Average.of.set_latitude","Average.of.set_longitude","Min.of.set_date","mpa_age","region_name","location_name","site","location_id","trip_year","PI","Average.of.depth","Average.of.visibility","Average.of.substrate_relief_mean","Average.of.set_productivity_2017ave","Average.of.hard_coral","Average.of.unconsolidated","Average.of.macroalgae","Average.of.soft_coral","Average.of.consolidated","Average.of.local_population_2010","Average.of.local_population_2015","Average.of.population_proporationaldifference_2010.15","Live_Coral","Shark_Protection_Status","Shark_fishing_restrictions","Shark_fishing_restrictions_cat","Shark_gears","Average.of.set_productivity_2017ave.1","Average.of.local_population_2010.1","Average.of.local_population_2015.1","Average.of.population_proporationaldifference_2010.15.1","Average.of.Grav_NC","Average.of.Grav_Total","Average.of.Grav_Cities","Average.of.Grav_NP","trip_id","Fisheries_Management","Unique_ID","FP_location_name","CoastLength","FP_location_code","EPI","Ehealth","EcoVitality","EPI_location_name","TradeHub","GINI_location_name","GINI_year","GINI","HDI_location_name","HDI_year","HDI","WGI_location_name","Voice_Accountability_year","Voice_Accountability","Government_Effectiveness_year","Government_Effectiveness","Regulatory_Quality_year","Regulatory_Quality","Rule_of_Law_year","Rule_of_Law","Control_Corruption_year","Control_Corruption","GDP_location_name","GDP_year","GDP_per_capita_USD","Population_location_name","Population_year","Population","SAUP_EEZ_name","Catch_year","Total_catch_tonnes","Total_catch_reported_only","Total_catch_value","Reef_catch_tonnes","Reef_catch_value","Tuna_catch_tonnes","Tuna_catch_value","Reefshark_catch_tonnes","Reefshark_catch_value","Shark_catch_tonnes","Shark_catch_value","Bechedemer_catch_tonnes","Bechedemer_catch_value","colin_SAUP_reef_sharks_catch_2016.2014","tax_haven","Shark_Sanctuary","log_mpa_area","log_GDP_per_capita_USD","sqrt_mpa_age","sqrt_Average.of.depth","sqrt_live_coral","log_Average.of.Grav_NC","log_Average.of.Grav_NP","log_Grav_Total_Plus_min","log_Reefshark_catch_tonnes","log_Average.of.local_population_2015","response"
"Conception",31,1,1.211060141639,0.217512822511661,44,0.340909090909091,0.64495111832736,0.0972300394369073,1.07613943281605,0.128655497207635,"reef associated",109.8,1964,">20km to next reef","medium",23.82183578,-75.11207156,"10/05/2016",52.39178082,"Western Atlantic","Bahamas","Conception",3,2016,"Chapman",10.80326531,9.092783505,0.339362887,0.2472417,0,64.60824742,1.804123711,8.773195876,24.26804124,14106.94502,17072.79853,0.203811857,8.773195876,"Closed","Area; Gear; Species","Moderate","Hook & Line",0.232377593,14123.81219,17119.94173,0.20715915,1.433931077,4.67448276,1.798865237,1.244352675,"FP_2016_BS_03","Effective",6,"Bahamas",3542,"BS",54.99,73.68,42.52,"Bahamas",0,"Bhamas, The",NA,-999,"Bahamas",2015,0.792,"Bahamas, The",2016,0.940302491,2016,0.717308939,2016,0.257599503,2016,0.229195848,2016,1.134529352,"Bahamas, The",2016,28785.47767,"Bahamas, The",2016,391232,"Bahamas","2009-2014",22395.47123,13990.31702,130562982.5,12757.0943,112422331.1,1285.714685,1884857.728,1,0,153.1136563,127228.8611,0,0,"75.32366572",1,1,4.69866052907543,10.267626291379,7.23821668783133,3.28683210858115,2.96195811516638,0.360419677563487,0.218615454942087,1.54211851704745,0,9.74524174669789,1.07613943281605
"Corals Rosario and San Bernardo",95,0.122163157894737,0.308520291774674,0.0316535140539811,99,0.0169,0.13,0.0169,1.97804388912805,0.664830126336425,"reef associated",1200,1985,"<20km to next reef","medium",10.20705827,-75.74709158,"23/09/2016",31.74794521,"Western Atlantic","Colombia","Colombia",109,2016,"Heithaus",12.30792079,6.689119171,2.235215625,0.20287842,32.48186528,34.08290155,0.896373057,7.243523316,21.86528497,4968929.414,5614596.1,0.129195284,39.7253886,"Restricted","Gear","Limited","Hook & Line; Spear; Trap; Gillnet; Seine; Longline; Cyanide; Blast",0.202870862,4966150.103,5611162.266,0.129133794,46.42043093,203.37116616,103.3073331,1.002604614,"FP_2016_CO_01","Ineffective",14,"Colombia",3208,"CO",65.22,71.05,61.33,"Colombia",0,"Columbia",2017,49.7,"Colombia",2015,0.727,"Colombia",2016,0.095835842,2016,0.023041973,2016,0.401921898,2016,-0.316749752,2016,-0.337096721,"Colombia",2016,5805.605385,"Colombia",2016,48653419,"Colombia (Caribbean)","2009-2014",10592.83226,6898.783105,22755335.42,1547.240161,7471053.994,248.0895507,363699.2813,7.494342404,9520.705965,43.52641218,63778.03275,0,0,"#N/A",0,0,7.09007683577609,8.6665791755162,5.63453149871398,3.50826464081603,6.30280799326776,3.83773968408627,0.00260122787138641,5.31503271427363,2.01414838974672,15.5408802112433,1.97804388912805
"Curacao",35,0.171428571428571,0.513678446324632,0.0868275048947193,68,0.0294117647058824,0.170213933457599,0.0206414713705158,1.7627719323548,0.749073261145254,"reef associated",6,1987,"continuous","medium",12.04205761,-68.79161392,"24/10/2016",29.83287671,"Western Atlantic","Dutch Caribbean","Curacao",110,2016,"Heithaus",33.4,9.318584071,2.366230556,0.228425169,8.37962963,29.37037037,0,27.03703704,31.9537037,1066763.572,1166106.434,0.093129473,35.41666667,"Restricted","Size","Limited","Hook & Line; Gillnet; Trawl; Trap; Seine",0.228926179,1066946.681,1166313.409,0.093135994,579.5310915,737.08853686,609.1429559,81.75150218,"FP_2016_DC_01","Ineffective",19,"Dutch Caribbean",182,"DC",NA,NA,NA,"",0,"Curacao",NA,-999,"Netherlands",2015,0.924,"Aruba",2016,1.269066691,2016,0.896265566,2016,1.347679496,2016,1.289892197,2016,1.292231202,"Aruba",2011,25324.72036,"Aruba",2016,104822,"Aruba (Netherlands)","2009-2014",2081.095331,781.7485615,5409889.288,646.4931631,2170875.727,642.7254976,1595355.711,1.005563083,14.57534413,8.982630844,12228.19645,0,0,"#N/A",1,0,1.79175946922805,10.1395362870026,5.46194806914163,5.77927331071996,5.9511903573991,6.36221931362703,4.40368418489906,6.60270801639883,0.00554766620395005,13.9691809230303,1.7627719323548
"Dutch Reserve",17,0.470588235294118,0.799816155346303,0.193983911151072,52,0.173076923076923,0.473665466715671,0.0656855818330744,1.00024733886883,0.3139547968107,"reef associated",31,2011,">20km to next reef","medium",17.98310463,-63.05164074,"16/03/2015",4.205479452,"Western Atlantic","Dutch Caribbean","Saba",110,2015,"Heithaus",28.9,9.213333333,1.538881944,0.145184735,0,40.80555556,3.888888889,5.652777778,13.61111111,266267.853,284685.9319,0.069438034,5.652777778,"Closed","Area","Limited","Hook & Line; Trap",0.145184735,266267.853,284685.9319,0.069438034,1.366521069,147.28448276,1.902514897,4.865432027,"L_2015_DC_01","None",19,"Dutch Caribbean",182,"DC",NA,NA,NA,"",0,"Curacao",NA,-999,"Netherlands",2015,0.924,"Aruba",2016,1.269066691,2016,0.896265566,2016,1.347679496,2016,1.289892197,2016,1.292231202,"Aruba",2011,25324.72036,"Aruba",2016,104822,"Aruba (Netherlands)","2009-2014",2081.095331,781.7485615,5409889.288,646.4931631,2170875.727,642.7254976,1595355.711,1.005563083,14.57534413,8.982630844,12228.19645,0,0,"#N/A",1,0,3.43398720448515,10.1395362870026,2.05072656685381,5.37587202228625,2.37755710299458,0.31226814448886,1.58215551477846,4.99236597345239,0.00554766620395005,12.5591418582763,1.00024733886883
"East Coast",14,5,3.08843998459765,0.825420305855557,22,4.31818181818182,2.71479831113287,0.578796944694529,0.146603474191875,0.0452187148032023,"reef associated",226.7,2004,"<20km to next reef","high",-31.55057635,159.1752656,"22/04/2013",9.312328767,"Pacific","Australia-Pacific","Lord Howe",73,2013,"Heupel",32.76862745,9.882352941,1.53457451,0.174988779,1.529411765,15.15686275,13.03921569,2.529411765,65.49019608,499.7960972,499.9230837,0.000254077,4.058823529,"Restricted","Gear; Bag; Species","Moderate","Hook & Line",0.175003182,499.7960972,499.9230837,0.000254077,1.107033873,0.03448276,0,1.024079049,"HE_2013_AU-P_01","Effective",5,"Australia-Pacific",12880,"AU-P",74.12,97.95,58.23,"Australia-Pacific",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,5.42362755751348,10.8148725806984,3.05161084789657,5.72438882763916,2.01465221043236,0.101684252174352,0.0237937199268984,-3.36729578998647,6.92890972255499,6.21445425398874,0.146603474191875
"Easter",10,0.3169,0.483045891539648,0.152752523165195,19,0.0169,0.13,0.0169,2.93127264476785,3.34663906438103,"reef associated",22.29,1994,"continuous","high",-28.678561,113.850566,"17/05/2015",21.38630137,"Indian Ocean","Australia-Indian Ocean","Abrolhos",85,2015,"Harvey",14.7375,4.945945946,2.392408108,0.332954546,41.75675676,6.459459459,17.83783784,0.594594595,24.97297297,66285.40138,66292.07607,0.000100696,42.35135135,"Restricted","Size; Bag; Entrants; Species; Gear","Extensive","Hook & Line",0.332954546,66285.40138,66292.07607,0.000100696,4.35318646,3.45948276,3.418987591,1.000975402,"LH_2015_AU-I_01","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,3.10413814739778,10.8148725806984,4.62453255691859,3.83894516762092,6.50779158778153,1.47090809647933,0.000974926604578417,1.24111908656521,6.92890972255499,11.1018256527417,2.93127264476785
"Exuma Cays",29,1.75862068965517,1.70409532793782,0.316442558207348,64,1.625,1.16155342072862,0.145194177591077,0.079021986956151,0.0403611264670621,"reef associated",455.8,1986,"continuous","high",24.43019798,-76.64792289,"6/01/2015",29.03287671,"Western Atlantic","Bahamas","Exuma Cays",3,2015,"Chapman",13.62176871,9.340136054,0.847670748,0.406262157,0,55.79591837,2.761904762,20.14965986,18.03401361,274617.5211,296830.3365,0.109896802,20.14965986,"Closed","Area; Gear; Species","Moderate","Hook & Line",0.426857317,256105.6196,276983.9793,0.115406819,4.761792041,9.464590287,5.416338197,1.005847995,"FP_2015_BS_01","Effective",6,"Bahamas",3542,"BS",54.99,73.68,42.52,"Bahamas",0,"Bhamas, The",NA,-999,"Bahamas",2015,0.792,"Bahamas, The",2016,0.940302491,2016,0.717308939,2016,0.257599503,2016,0.229195848,2016,1.134529352,"Bahamas, The",2016,28785.47767,"Bahamas, The",2016,391232,"Bahamas","2009-2014",22395.47123,13990.31702,130562982.5,12757.0943,112422331.1,1285.714685,1884857.728,1,0,153.1136563,127228.8611,0,0,"75.32366572",1,1,6.12205411681158,10.267626291379,5.38821646836873,3.69076803795633,4.48883725033555,1.5606240765945,0.00583096185149012,2.24755749656114,0,12.6009159969793,0.079021986956151
"Fernando",31,1.35483870967742,1.6441489611503,0.295297870744408,24,0.583333333333333,0.829702233998107,0.169362259311888,0.842678914530909,0.131800256334418,"reef associated",112.7,1988,"continuous","high",-3.835548906,-32.42236304,"21/07/2017",29.57260274,"Western Atlantic","Brazil","Fernando",75,2017,"Chapman",17.97125,7.87804878,2.032653659,0.116371818,0.682926829,42.92682927,5.073170732,0,51.17073171,3761.071986,4257.593212,0.132015879,0,"Restricted","Species; Gear","Moderate","Hook & Line",0.116371818,3761.071986,4257.593212,0.132015879,1.612382124,26.03448276,0.984994237,2.406659762,"FP_2015_BS_02","Effective",10,"Brazil",7491,"BR",60.7,67.44,56.21,"Brazil",1,"Brazil",2018,53.3,"Brazil",2015,0.754,"Brazil",2016,0.46903652,2016,-0.175861731,2016,-0.20738399,2016,-0.08087071,2016,-0.443444788,"Brazil",2016,8649.948492,"Brazil",2016,207652865,"Brazil (mainland), Fernando de Noronha (Brazil), Trindade & Martim Vaz Isl. (Brazil), St Paul and St. Peter Archipelago (Brazil)","2009-2014",889528.7905,539584.6563,2322749048,142139.9832,565454652.2,40052.56601,112772900.8,375.0858229,616004.2956,87841.47616,206236483.4,0,0,"#N/A",0,0,4.72472942104573,9.06530864522611,5.43806976233295,4.23925111310948,0,0.477712665620404,0.878239795257441,3.25942191931553,5.92715486085238,8.35645930589671,0.842678914530909
"Gili Matra",40,0.25,0.493548116792825,0.0780368091976062,108,0.0833333333333333,0.277673916200852,0.0267191850442499,1.09861228866811,0.200239635753654,"reef associated",3,2007,"<20km to next reef","low",-8.342193976,116.0305355,"8/09/2016",9.693150685,"Coral Triangle","Indonesia","Gili Matra",93,2016,"Heithaus",8.382352941,7.586666667,0.901792,0.188713957,23.24,18.16,0,2.32,55.93333333,507679.2129,594072.6921,0.340410759,25.56,"Restricted","Gear","Limited","Spear; Hook & Line; Seine; Trap",0.185781969,440088.4207,520035.0799,0.341946984,48.73145179,282.52454896,57.30594494,1.726227255,"FP_2017_ID_03","Ineffective",30,"Indonesia",54720,"ID",46.92,45.44,47.9,"Indonesia",1,"Indonesia",2017,38.1,"Indonesia",2015,0.689,"Indonesia",2016,0.143167585,2016,0.013530596,2016,-0.122334793,2016,-0.355571955,2016,-0.387860954,"Indonesia",2016,3570.294888,"Indonesia",2016,261115456,"Indonesia (Central), Indonesia (Indian Ocean), Indonesia (Eastern)","2009-2014",7664573.248,5405965.174,12357556376,2055634.187,4366992910,680641.2903,1138995519,1847.354773,2220614.679,75195.53943,113834825.3,791.3664766,2514631.406,"#N/A",0,0,1.09861228866811,8.18040347304303,3.11338251504694,2.89522934169299,5.05568986390582,3.88632464894189,0.545938249695111,5.64376544578445,7.52151004242547,13.29475696813,1.09861228866811
"Glover's Reef",35,1.47404285714286,1.12047408933627,0.189394688783122,40,0.0169,0.13,0.0169,4.46845052579978,1.49579873566971,"reef associated",70,1993,"continuous","high",16.8561169,-87.95984042,"12/06/2013",20.45753425,"Western Atlantic","Belize","Belize",1,2013,"Chapman",12.06170455,7.43902439,1.8213,0.396181155,0.170731707,30.97560976,0.804878049,43.34146341,24,461899.783,534450.717,0.156557733,43.51219512,"Restricted","Temporal; Entrants; Species","Moderate","Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap",0.395790667,458153.4608,529437.8631,0.155105671,4.229416297,78.51448276,22.17080582,1.004715879,"LC_2013_BZ_01","Effective",8,"Belize",386,"BZ",57.79,65.09,52.93,"Belize",0,"Belize",1999,53.3,"Belize",2015,0.706,"Belize",2016,0.669242859,2016,-0.676089704,2016,-0.51242882,2016,-0.86176306,2016,-0.24498421,"Belize",2016,4744.736397,"Belize",2016,366954,"Belize","2009-2014",7728.410136,4666.049394,12594139.11,2746.67807,8934483.472,1.001695353,1192.01747,430.5054577,233838.1408,1666.799394,1109651.277,0,0,"7242.997333",1,0,4.24849524204936,8.4647911556547,4.52300058036698,3.4729964799867,6.59637742401085,1.44206399228356,0.00470479407906445,4.36328310152944,6.06496000137163,13.1889948012673,4.46845052579978
"Halfmoon Cay",36,1.22222222222222,1.09833929473055,0.183056549121759,27,0.592592592592593,0.747264717757073,0.143811161984319,0.723918839226699,0.081326344110435,"reef associated",41.2,1982,"continuous","high",17.20029208,-87.54291585,"4/11/2015",33.8630137,"Western Atlantic","Belize","Belize",1,2015,"Chapman",14.04597701,7.574712644,1.514617241,0.258115039,0,36.59770115,0,39.35632184,11.64367816,350655.1769,401291.2578,0.144530451,39.35632184,"Restricted","Temporal; Entrants; Species","Moderate","Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap",0.249654167,350953.7557,401510.5395,0.14418879,2.330294474,49.55829228,13.28187925,1.000115649,"FP_2015_BZ_01","Effective",8,"Belize",386,"BZ",57.79,65.09,52.93,"Belize",0,"Belize",1999,53.3,"Belize",2015,0.706,"Belize",2016,0.669242859,2016,-0.676089704,2016,-0.51242882,2016,-0.86176306,2016,-0.24498421,"Belize",2016,4744.736397,"Belize",2016,366954,"Belize","2009-2014",7728.410136,4666.049394,12594139.11,2746.67807,8934483.472,1.001695353,1192.01747,430.5054577,233838.1408,1666.799394,1109651.277,0,0,"7242.997333",1,0,3.71843825635548,8.4647911556547,5.81919356096702,3.74779628715329,6.27346171104917,0.84599464328285,0.000115642313169996,3.90314959854015,6.06496000137163,12.902442771318,0.723918839226699
"Hawaii",66,1.12121212121212,1.03053610417329,0.126850225570723,89,0.0337078651685393,0.181498697857036,0.0192388234952373,3.50443443224177,0.338557485854783,"reef associated",360000,2006,">20km to next reef","high",25.94340302,171.6365295,"11/09/2017",11.70136986,"Pacific","USA-Pacific","Hawaii",66,2017,"Heupel",18.132,8.878612717,2.062013095,0.065906882,16.25595238,18.64880952,1.547619048,0.178571429,63.14880952,130312.4843,145410.3098,0.058922387,16.43452381,"Restricted","Species; Bag","Moderate","Hook & Line; Longline; Drumline",0.065912614,142529.2797,159042.5263,0.064446361,1.882138631,294.55948276,1.413401381,13.09483298,"FP_2017_US-P_02","Effective",71,"USA-Pacific",85.7,"US-P",71.19,93.91,56.04,"United States of America",0,"United States",2016,41.5,"United States",2015,0.92,"United States",2016,1.103929162,2016,1.481050014,2016,1.497168064,2016,1.666049957,2016,1.330601931,"United States",2016,57638.15909,"United States",2016,323127513,"USA (West Coast)","2009-2014",593442.753,567870.4562,848641228,210.7308105,345066.4015,23314.75733,67897875.24,1,0,1975.176545,3606167.249,0,0,"#N/A",0,0,12.7938593104323,10.9619401115396,3.42072651055298,4.25816862042827,4.05395162896648,0.632408699980598,2.57221772339189,5.68548096150821,0,11.8873147480327,3.50443443224177
"iSimangaliso",48,0.333333333333333,0.694456264674817,0.100236127837607,45,0.244444444444444,0.434613493680177,0.06478835438717,0.310154928303839,0.160673465799191,"reef associated",80,1998,"continuous","medium",-27.78474575,32.62824574,"9/11/2016",18.86849315,"Indian Ocean","South Africa","iSimangaliso",106,2016,"Meekan",29.2044586,9.051282051,1.844982051,0.168731036,10.90384615,44.1025641,6.185897436,2.608974359,34.33974359,1838833.634,1878440.209,0.021500327,13.51282051,"Restricted","Species","Limited","Hook & Line",0.169955478,1845241.958,1885021.938,0.021513193,1.208306601,199.03448276,79.47913036,1.004547889,"FP_2016_ZA_01","Ineffective",59,"South Africa",2798,"ZA",44.73,36.81,50.01,"South Africa",1,"South Africa",2015,63,"South Africa",2015,0.666,"South Africa",2016,0.644432366,2016,0.272058576,2016,0.211726665,2016,0.072629265,2016,0.049816653,"South Africa",2016,5274.546008,"South Africa",2016,55908865,"South Africa (Indian Ocean Coast)","2009-2014",10326.2996,2661.852349,39264427.61,2387.080819,10369228.06,1572.815501,7105771.503,3.420199741,2828.247365,748.710997,1497385.236,0,0,"#N/A",0,0,4.38202663467388,8.57064788980635,4.34378788041037,5.40411496916933,3.67597885059204,0.18921987608346,0.0045375786013687,5.29347808991422,1.22969895317025,14.4459523143706,0.310154928303839
"Jardines de la Reina",49,0.836734693877551,0.687596622771126,0.0982280889673038,10,0.3,0.483045891539648,0.152752523165195,1.02572457291962,0.273040738537467,"reef associated",950,1996,">20km to next reef","high",20.79488311,-78.92016242,"21/04/2018",22.3,"Western Atlantic","Cuba","Jardines de la Reina",2,2018,"Chapman",24.76842105,8.649122807,2.820087719,0.557309998,7.350877193,29.05263158,0.649122807,33.8245614,26.05263158,1203012.065,1197294.375,-0.005786781,41.1754386,"Closed","Area","Extensive","None",0.557309998,1203012.065,1197294.375,-0.005786781,4.370466693,33.52600818,18.40497248,1.010494079,"FP_2018_CU_01","Ineffective",17,"Cuba",3735,"CU",63.42,75.76,55.2,"Cuba",0,"Cuba",NA,-999,"Cuba",2015,0.775,"Cuba",2016,-1.628551126,2016,-0.12650013,2016,-1.338864088,2016,-0.412079066,2016,0.053174697,"Cuba",2015,7602.261218,"Cuba",2016,11475982,"Cuba","2009-2014",27850.51583,18301.62805,63458209.27,11661.33791,48783062.3,0,0,1,0,2073.9756,2646385.607,0,0,"11140.23383",0,0,6.85646198459459,8.93620101070575,4.72228758124704,4.97678822635643,6.41680906681818,1.47486979814219,0.0104393983688648,3.5123215011988,0,13.9955748816232,1.02572457291962
"Kapoposang 1",5,0.0169,0.13,0.0169,59,0.220289830508475,0.446428780161928,0.0581200767197791,-2.56763046880049,11.9039282165649,"reef associated",100,2009,"<20km to next reef","low",-4.713769445,118.9408889,"6/04/2016",7.265753425,"Coral Triangle","Indonesia","Kapoposang",93,2016,"Simpfendorfer",16.3,8.8,1.405451899,0.776688031,20.10126582,34.02531646,0,8.898734177,33.78481013,7006626.598,7567247.483,0.080032144,29,"Restricted","Area","Limited","Spear; Hook & Line",0.776688031,7001054.81,7561412.073,0.080058444,8.003126091,101.81573276,7.811969055,1.000340359,"FP_2016_ID_01","None",30,"Indonesia",54720,"ID",46.92,45.44,47.9,"Indonesia",1,"Indonesia",2017,38.1,"Indonesia",2015,0.689,"Indonesia",2016,0.143167585,2016,0.013530596,2016,-0.122334793,2016,-0.355571955,2016,-0.387860954,"Indonesia",2016,3570.294888,"Indonesia",2016,261115456,"Indonesia (Central), Indonesia (Indian Ocean), Indonesia (Eastern)","2009-2014",7664573.248,5405965.174,12357556376,2055634.187,4366992910,680641.2903,1138995519,1847.354773,2220614.679,75195.53943,113834825.3,791.3664766,2514631.406,"#N/A",0,0,4.60517018598809,8.18040347304303,2.69550615376779,4.03732584763727,5.3851648071345,2.07983222672749,0.00034030109101504,4.62316463795149,7.52151004242547,15.8393399507055,-2.56763046880049
"Kapoposang 2",7,0.0169,0.13,0.0169,119,0.0841268907563025,0.251473368100838,0.023052525858066,-1.60501264134112,8.52817282679479,"reef associated",100,2009,"<20km to next reef","low",-4.653546297,119.1305241,"11/04/2016",7.279452055,"Coral Triangle","Indonesia","Kapoposang",93,2016,"Simpfendorfer",15.01027397,8.661971831,1.480887943,0.698257746,29.63120567,34.33333333,1.425531915,5.602836879,25.46099291,6930028.471,7482480.685,0.07971176,35.23404255,"Restricted","Area","Limited","Spear; Hook & Line",0.695034865,6925621.141,7477662.589,0.079703135,8.787076426,116.68527646,8.919293153,1.000276117,"FP_2016_ID_01","None",30,"Indonesia",54720,"ID",46.92,45.44,47.9,"Indonesia",1,"Indonesia",2017,38.1,"Indonesia",2015,0.689,"Indonesia",2016,0.143167585,2016,0.013530596,2016,-0.122334793,2016,-0.355571955,2016,-0.387860954,"Indonesia",2016,3570.294888,"Indonesia",2016,261115456,"Indonesia (Central), Indonesia (Indian Ocean), Indonesia (Eastern)","2009-2014",7664573.248,5405965.174,12357556376,2055634.187,4366992910,680641.2903,1138995519,1847.354773,2220614.679,75195.53943,113834825.3,791.3664766,2514631.406,"#N/A",0,0,4.60517018598809,8.18040347304303,2.69804596977146,3.87430948299178,5.93582703167806,2.17328205409737,0.000276078886716887,4.75948036560887,7.52151004242547,15.8280749373492,-1.60501264134112
"Kisite",20,0.0169,0.13,0.0169,19,0.0169,0.13,0.0169,0,6.07287449392713,"reef associated",28,1973,"<20km to next reef","high",-4.722915455,39.34794286,"1/12/2017",44.94520548,"Indian Ocean","Kenya","Kisite",107,2017,"Meekan",18.37560976,8.9,1.5901475,0.218191919,8.525,37.975,25.675,5.825,14,5467960.301,6118989.504,0.119062439,14.35,"Restricted","Gear; Species","Moderate","Hook & Line",0.218191919,5468625.591,6119738.72,0.119063299,62.39868443,289.47038016,109.0032416,1.032033888,"FP_2017_KE_01","Ineffective",34,"Kenya",536,"KE",47.25,42.96,50.12,"Kenya",0,"Kenya",2016,40.8,"Kenya",2015,0.555,"Kenya",2016,-0.14707087,2016,-0.314097196,2016,-0.300370425,2016,-0.530303478,2016,-0.897414804,"Kenya",2016,1455.359765,"Kenya",2016,48461567,"Kenya","2009-2014",18310.40858,10359.16487,48357358.65,6251.314827,26945318.51,2767.575808,4479977.066,2.147832228,1662.806275,1102.339348,2435594.207,0,0,"8543.242372",0,0,3.3322045101752,7.28300841020997,6.70411854608792,4.28667817313127,3.78813938497516,4.13354419230057,0.0315315037295439,5.66805297799625,0.764459067450923,15.6269075271302,0
"Lighthouse",15,0.6,0.632455532033676,0.163299316185545,9,0.333333333333333,0.707106781186548,0.235702260395516,0.587786664902119,0.574074074074074,"reef associated",11.86,2005,"continuous","high",-21.78557045,114.156273,"15/05/2014",9.37260274,"Indian Ocean","Australia-Indian Ocean","Ningaloo",85,2014,"Harvey",8.724137931,3.75862069,1.533355172,0.313831661,0,21.65517241,43.27586207,0.24137931,34.62068966,4898.902497,4899.173372,5.53e-05,0.24137931,"Restricted","Size; Bag; Entrants; Species; Gear","Extensive","Hook & Line",0.31418911,4899.175947,4899.446774,5.53e-05,1.11746678,8.742816093,0,2.642139613,"LH_2014_AU-I_02","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,2.47317139356958,10.8148725806984,3.06147068253152,2.95366516907384,0.491303684089586,0.111064319994378,0.971589048382987,2.16823234520685,6.92890972255499,8.4968217702755,0.587786664902119
"Mandu",8,0.125,0.353553390593274,0.125,5,0.6,1.34164078649987,0.6,-1.56861591791385,2,"reef associated",13.49,2005,"continuous","high",-22.11807,113.86849,"18/08/2015",10.63287671,"Indian Ocean","Australia-Indian Ocean","Ningaloo",85,2015,"Harvey",9.36,7.466666667,3.690126667,0.306702364,51,5.4,0,1.666666667,41.26666667,4907.738718,4907.988548,5.09e-05,52.66666667,"Restricted","Size; Bag; Entrants; Species; Gear","Extensive","Hook & Line",0.306600979,4903.760335,4904.009796,5.09e-05,1.122798807,1.649867375,0,1.546510211,"LH_2015_AU-I_06","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,2.60194867021966,10.8148725806984,3.26080921091682,3.05941170815567,7.25718035258874,0.11582450298276,0.436000915772338,0.500694905894063,6.92890972255499,8.49861947249475,-1.56861591791385
